annotated_time	inferred_time
723.0	857.94
726.0	857.94
729.0	857.94
732.0	857.94
735.0	857.94
738.0	857.94
741.0	925.98
744.0	1014.0
747.0	1014.0
750.0	1014.0
753.0	1014.0
756.0	1014.0
759.0	1014.0
762.0	1014.0
765.0	1014.0
768.0	1014.0
771.0	1014.0
774.0	1014.0
777.0	1032.0
780.0	1032.0
783.0	1032.0
786.0	1032.0
789.0	1032.0
792.0	1032.0
795.0	1032.0
798.0	1032.0
801.0	1032.0
804.0	1032.0
807.0	1032.0
810.0	1032.0
813.0	1032.0
816.0	1032.0
819.0	1032.0
822.0	1032.0
825.0	1032.0
828.0	1032.0
831.0	1032.0
834.0	1032.0
837.0	1032.0
840.0	1032.0
843.0	1032.0
846.0	1032.0
849.0	1032.0
852.0	1032.0
855.0	1032.0
858.0	1032.0
861.0	1032.0
864.0	1032.0
867.0	1032.0
870.0	1032.0
873.0	1032.0
876.0	1032.0
879.0	1032.0
882.0	1050.0
885.0	1050.0
888.0	1050.0
891.0	1050.0
894.0	1050.0
897.0	1050.0
900.0	1050.0
903.0	1050.0
906.0	1050.0
909.0	1050.0
912.0	1050.0
915.0	1050.0
918.0	1050.0
921.0	1050.0
924.0	1050.0
927.0	1050.0
930.0	1050.0
933.0	1050.0
936.0	1050.0
939.0	1050.0
942.0	1050.0
945.0	1050.0
948.0	1050.0
951.0	1050.0
954.0	1050.0
957.0	1050.0
960.0	1050.0
963.0	1050.0
966.0	1050.0
969.0	1050.0
972.0	1050.0
975.0	1050.0
978.0	1050.0
981.0	1050.0
984.0	1050.0
987.0	1050.0
990.0	1050.0
993.0	1050.0
996.0	1050.0
999.0	1050.0
1002.0	1050.0
1005.0	1320.0
1008.0	1320.0
1011.0	1350.0
1014.0	1350.0
1017.0	1350.0
1020.0	1350.0
1023.0	1350.0
1026.0	1350.0
1029.0	1350.0
1032.0	1350.0
1035.0	1350.0
1038.0	1350.0
1041.0	1350.0
1044.0	1350.0
1047.0	1350.0
1050.0	1350.0
1053.0	1350.0
1056.0	1350.0
1059.0	1350.0
1062.0	1350.0
1065.0	1656.0
1068.0	1656.0
1071.0	1656.0
1074.0	1656.0
1077.0	1656.0
1080.0	1656.0
1083.0	1656.0
1086.0	1656.0
1089.0	1656.0
1092.0	1656.0
1095.0	1656.0
1098.0	1656.0
1101.0	1800.0
1104.0	1800.0
1107.0	1800.0
1110.0	1800.0
1113.0	1800.0
1116.0	1800.0
1119.0	1800.0
1122.0	1800.0
1125.0	1800.0
1128.0	1800.0
1131.0	1800.0
1134.0	1800.0
1137.0	1800.0
1140.0	1800.0
1143.0	1800.0
1146.0	1800.0
1149.0	1800.0
1152.0	1800.0
1155.0	1800.0
1158.0	1800.0
1161.0	1800.0
1164.0	1800.0
1167.0	1800.0
1170.0	1800.0
1173.0	1800.0
1176.0	1800.0
1179.0	1800.0
1182.0	1800.0
1185.0	1800.0
1188.0	1800.0
1191.0	1800.0
1194.0	1800.0
1197.0	1800.0
1200.0	1800.0
1203.0	1800.0
1206.0	1800.0
1209.0	1800.0
1212.0	1800.0
1215.0	1800.0
1218.0	1800.0
1221.0	1800.0
1224.0	1800.0
1227.0	1800.0
1230.0	1800.0
1233.0	1800.0
1236.0	1800.0
1239.0	1800.0
1242.0	1800.0
1245.0	2520.0
1248.0	2520.0
1251.0	2520.0
1254.0	2520.0
1257.0	2520.0
1260.0	2520.0
1263.0	2520.0
1266.0	2520.0
1269.0	2736.0
1272.0	2736.0
1275.0	2808.0
1278.0	2808.0
1281.0	2808.0
1284.0	2808.0
1287.0	2808.0
1290.0	2808.0
1293.0	2808.0
1296.0	2808.0
1299.0	2808.0
1302.0	2808.0
1305.0	2808.0
1308.0	2808.0
1311.0	2808.0
1314.0	2808.0
1317.0	2808.0
1320.0	2808.0
1323.0	2808.0
1326.0	2808.0
1329.0	2808.0
1332.0	2808.0
1335.0	2808.0
1338.0	2808.0
1341.0	2808.0
1344.0	2808.0
1347.0	2808.0
1350.0	2808.0
1353.0	2808.0
1356.0	4320.0
1359.0	4320.0
1362.0	4320.0
1365.0	4320.0
1368.0	4320.0
1371.0	4320.0
1374.0	4320.0
1377.0	4320.0
1380.0	4320.0
1383.0	4320.0
1386.0	4752.0
1389.0	4752.0
1392.0	4752.0
1395.0	4752.0
1398.0	4752.0
1401.0	4752.0
1404.0	4896.0
1407.0	4896.0
1410.0	4896.0
1413.0	4896.0
1416.0	4896.0
1419.0	4896.0
1422.0	4896.0
1425.0	4896.0
1428.0	4896.0
1431.0	4896.0
1434.0	4896.0
1437.0	4896.0
1440.0	4896.0
1446.0	4896.0
1452.0	4896.0
1458.0	4896.0
1464.0	4896.0
1470.0	4896.0
1476.0	4896.0
1482.0	4896.0
1488.0	4896.0
1494.0	4896.0
1500.0	4896.0
1506.0	4896.0
1512.0	4896.0
1518.0	4896.0
1524.0	4896.0
1530.0	4896.0
1536.0	4896.0
1542.0	4896.0
1548.0	4896.0
1554.0	4896.0
1560.0	4896.0
1566.0	4896.0
1572.0	4896.0
1578.0	4896.0
1584.0	4896.0
1590.0	4896.0
1596.0	4896.0
1602.0	4896.0
1608.0	4896.0
1614.0	4896.0
1620.0	5184.0
1626.0	5184.0
1632.0	5184.0
1638.0	5184.0
1644.0	5184.0
1650.0	5184.0
1656.0	5184.0
1662.0	5184.0
1668.0	5184.0
1674.0	5184.0
1680.0	5184.0
1686.0	5184.0
1692.0	5184.0
1698.0	5184.0
1704.0	5184.0
1710.0	5184.0
1716.0	5184.0
1722.0	5184.0
1728.0	5184.0
1734.0	5184.0
1740.0	5184.0
1746.0	5184.0
1752.0	5184.0
1758.0	5184.0
1764.0	5184.0
1770.0	5184.0
1776.0	5184.0
1782.0	5184.0
1788.0	5184.0
1794.0	5184.0
1800.0	5184.0
1806.0	5184.0
1812.0	5184.0
1818.0	5184.0
1824.0	5184.0
1830.0	5184.0
1836.0	5184.0
1842.0	5184.0
1848.0	5184.0
1854.0	5184.0
1860.0	5184.0
1866.0	5184.0
1872.0	5184.0
1878.0	5184.0
1884.0	5184.0
1890.0	5184.0
1896.0	5184.0
1902.0	5184.0
1908.0	5184.0
1914.0	5184.0
1920.0	5184.0
1926.0	5616.0
1932.0	5616.0
1938.0	5616.0
1944.0	5616.0
1950.0	5616.0
1956.0	5616.0
1962.0	5616.0
1968.0	5616.0
1974.0	5616.0
1980.0	5616.0
1986.0	5616.0
1992.0	5616.0
1998.0	5616.0
2004.0	5616.0
2010.0	5616.0
2016.0	5616.0
2022.0	5616.0
2028.0	5616.0
2034.0	5616.0
2040.0	5616.0
2046.0	5616.0
2052.0	5616.0
2058.0	5616.0
2064.0	5616.0
2070.0	5616.0
2076.0	5616.0
2082.0	5616.0
2088.0	5616.0
2094.0	5616.0
2100.0	5616.0
2106.0	5616.0
2112.0	5616.0
2118.0	5616.0
2124.0	5616.0
2130.0	5616.0
2136.0	5616.0
2142.0	5616.0
2148.0	5616.0
2154.0	5616.0
2160.0	5616.0
