gene	r2	delta
ENSDARG00000001557	0.8150745814588871	2.8458369799106693
ENSDARG00000001558	0.9909257270981685	5.771100821905697
ENSDARG00000001578	0.9838921066658987	7.218183056687913
ENSDARG00000001621	0.9569269705977251	5.313732013015627
ENSDARG00000001634	0.9853083251321021	6.192541470227529
ENSDARG00000001676	0.966789221786591	7.012722125508461
ENSDARG00000001686	0.46551699739439123	2.520068008803694
ENSDARG00000001710	0.9883716968893885	5.86528100462293
ENSDARG00000001721	0.9909675576685454	12.229172664540526
ENSDARG00000001729	0.9225791169637872	2.4314379360354366
ENSDARG00000001733	0.9566546739885997	7.743131398191494
ENSDARG00000001734	0.957899562530407	4.963408492903041
ENSDARG00000001754	0.9865974054845007	6.245560061546853
ENSDARG00000001767	0.977165892342495	11.870738804289255
ENSDARG00000001769	0.8197816505138602	1.7793589406713548
ENSDARG00000001777	0.9613514651076343	3.7651593903020375
ENSDARG00000001781	0.6928717598462031	7.287699631536811
ENSDARG00000001782	0.9529044510212865	11.905331771930122
ENSDARG00000001785	0.949766568741046	5.236239004822635
ENSDARG00000001788	0.9927544869922789	8.45114392923048
ENSDARG00000001804	0.8176742561866646	5.055676805966776
ENSDARG00000001807	0.9603663785600804	6.287773454125004
ENSDARG00000001817	0.90327764411232	3.7614720199291214
ENSDARG00000001818	0.8560812879255486	3.545683389255138
ENSDARG00000001829	0.7834622370758885	3.111662188683285
ENSDARG00000001835	0.7744518681766988	2.8579203375250124
ENSDARG00000001857	0.721858226476017	2.819997762111439
ENSDARG00000001859	0.9595314226651036	8.819019363031686
ENSDARG00000001870	0.9938773176039448	13.673205224213094
ENSDARG00000001873	0.9878451588533761	8.738312816363749
ENSDARG00000001879	0.9820682637607879	7.180863364077302
ENSDARG00000001880	0.8881403674010455	5.810122581179685
ENSDARG00000001882	0.9789998233748936	5.266695305468228
ENSDARG00000001888	0.9381067486308179	4.276454770630937
ENSDARG00000001889	0.991432811988863	9.9808539047888
ENSDARG00000001890	0.9605300547091482	5.307052487586465
ENSDARG00000001897	0.9121308395017468	5.331270704882443
ENSDARG00000001898	0.9298672410343926	6.453840793141689
ENSDARG00000001909	0.8259047602588526	2.6152677213473883
ENSDARG00000001910	0.9847097573584599	7.078105089710159
ENSDARG00000001913	0.9728179574032564	4.682847506673119
ENSDARG00000001929	0.9614518654969362	4.889339716892193
ENSDARG00000001930	0.7761687947403292	2.4935844348392697
ENSDARG00000001937	0.8675951972984447	4.073382088217889
